disease_id,crop,disease_name,pathogen_type,symptoms,favorable_conditions,low_risk_advisory,medium_risk_advisory,high_risk_advisory,expert_advisory,preventive_measures,organic_treatment,chemical_treatment
11,Rice,Brown Spot,fungal_blight,Brown oval spots on leaves and grains,"High humidity, nutrient-deficient soil",Conditions are not currently favorable for Brown Spot to spread significantly in Rice. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Brown Spot in Rice. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Brown Spot in Rice. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Brown Spot symptoms in Rice despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
12,Rice,False Smut,fungal_smut,Orange-yellow spore balls replacing grains,"High humidity, cloudy weather during flowering",Conditions currently show low risk for False Smut in Rice. Continue using certified disease-free seed for future planting.,Some risk of False Smut in Rice under current conditions. Rogue out and destroy any smutted heads/grains you notice before spores spread.,"High risk of False Smut spread in Rice. Remove and safely destroy all infected plant parts before spore release, and treat seed with a recommended fungicide before the next sowing.","For recurring smut problems in Rice across seasons, consult an agricultural extension officer about seed treatment protocols and resistant varieties.",Seed treatment with a recommended fungicide before sowing is the single most effective preventive step for smut diseases.,Hot water seed treatment and Trichoderma-based seed coating are commonly used organic alternatives to chemical seed dressing.,"A systemic seed-dressing fungicide applied before sowing, as per local extension recommendation, substantially reduces smut incidence."
13,Rice,Sheath Blight,fungal_blight,Irregular greenish-grey lesions on sheath,"High humidity, dense planting, warm temperature 28-32C",Conditions are not currently favorable for Sheath Blight to spread significantly in Rice. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Sheath Blight in Rice. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Sheath Blight in Rice. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Sheath Blight symptoms in Rice despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
14,Rice,Sheath Rot,fungal_blight,Discoloration and rotting of flag leaf sheath,"High humidity, high nitrogen application",Conditions are not currently favorable for Sheath Rot to spread significantly in Rice. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Sheath Rot in Rice. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Sheath Rot in Rice. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Sheath Rot symptoms in Rice despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
15,Rice,Bacterial Blight,bacterial,Water-soaked stripes turning yellow-white on leaves,"High humidity, warm temperature, wounds from wind/rain",Low current risk of Bacterial Blight spread in Rice. Avoid working in fields when foliage is wet to prevent accidental spread.,"Conditions are becoming favorable for Bacterial Blight in Rice. Avoid overhead irrigation, disinfect tools between plants, and monitor closely for spreading water-soaked lesions.","High risk of rapid Bacterial Blight spread in Rice. Remove and destroy severely affected plants, avoid field work during wet conditions, and consult your agricultural extension office for approved bactericide/copper-based treatment.","Bacterial diseases in Rice can resemble other disorders — if symptoms are unclear or spreading unusually fast, get a lab confirmation from your nearest plant health clinic.","Use certified pathogen-free seed/planting material, avoid working in wet fields, and disinfect tools between plants to prevent mechanical spread.","Copper-based organic bactericides applied preventively can reduce bacterial spread, though they will not cure already-infected plants.","Copper oxychloride or streptocycline-based sprays, as locally approved, are commonly used once symptoms appear, alongside removal of infected material."
16,Rice,Bacterial Leaf Streak,bacterial,Fine interveinal water-soaked streaks,"High humidity, warm temperature",Low current risk of Bacterial Leaf Streak spread in Rice. Avoid working in fields when foliage is wet to prevent accidental spread.,"Conditions are becoming favorable for Bacterial Leaf Streak in Rice. Avoid overhead irrigation, disinfect tools between plants, and monitor closely for spreading water-soaked lesions.","High risk of rapid Bacterial Leaf Streak spread in Rice. Remove and destroy severely affected plants, avoid field work during wet conditions, and consult your agricultural extension office for approved bactericide/copper-based treatment.","Bacterial diseases in Rice can resemble other disorders — if symptoms are unclear or spreading unusually fast, get a lab confirmation from your nearest plant health clinic.","Use certified pathogen-free seed/planting material, avoid working in wet fields, and disinfect tools between plants to prevent mechanical spread.","Copper-based organic bactericides applied preventively can reduce bacterial spread, though they will not cure already-infected plants.","Copper oxychloride or streptocycline-based sprays, as locally approved, are commonly used once symptoms appear, alongside removal of infected material."
17,Rice,Khaira Disease,nutrient_disorder,Bronzing and stunting of seedlings,"Zinc-deficient soil, high pH",Soil conditions currently show low risk of Khaira Disease in Rice.,Conditions suggest developing risk of Khaira Disease in Rice. Consider a soil test to confirm nutrient status.,High risk of Khaira Disease in Rice based on current soil/weather conditions. Apply the recommended soil or foliar nutrient correction as per local agricultural guidance.,Consult your local agricultural office for a soil test and precise nutrient correction dosage for Rice.,Regular soil testing and balanced fertilization based on local soil health card recommendations prevents most nutrient disorders.,Application of well-decomposed organic manure and micronutrient-rich compost can help correct mild deficiencies.,"A targeted foliar or soil-applied micronutrient correction, as per soil test results, is the most precise remedy."
18,Rice,Bakanae,fungal_blight,Abnormal elongation and yellowing of seedlings,Warm humid nursery conditions,Conditions are not currently favorable for Bakanae to spread significantly in Rice. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Bakanae in Rice. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Bakanae in Rice. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Bakanae symptoms in Rice despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
19,Rice,Tungro,viral,"Yellow-orange leaf discoloration, stunting","High leafhopper vector population, warm humid weather",Low current vector activity for Tungro in Rice. Keep monitoring for vector insects (whitefly/aphid/leafhopper/thrips) and early symptoms.,"Vector populations favoring Tungro spread appear to be rising in Rice. Use yellow sticky traps, consider need-based approved insecticide against the vector, and remove severely infected plants to reduce virus source.","High risk of continued Tungro spread in Rice due to vector activity. Remove and destroy infected plants immediately, control the vector population with a recommended approved insecticide, and consult an agricultural expert since there is no direct cure once a plant is infected.","Since viral diseases like Tungro cannot be cured once established, an agricultural officer's guidance on vector control and resistant varieties for future planting is strongly recommended.","Use virus-free planting material, control vector insect populations early in the season, and avoid planting near heavily infected fields.","Neem-based sprays can help suppress vector insect populations (whitefly/aphid) as a preventive, non-chemical option.","There is no chemical cure for the virus itself — insecticide use should target the vector insect population, as locally approved."
20,Maize,Turcicum Leaf Blight,fungal_blight,Long elliptical grey-green lesions on leaves,"Cool humid conditions 18-27C, high humidity",Conditions are not currently favorable for Turcicum Leaf Blight to spread significantly in Maize. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Turcicum Leaf Blight in Maize. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Turcicum Leaf Blight in Maize. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Turcicum Leaf Blight symptoms in Maize despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
85,Tomato,Early Blight,fungal_blight,Concentric dark spots with yellow halo on lower leaves,"Warm humid weather 24-29C, extended leaf wetness",Conditions are not currently favorable for Early Blight to spread significantly in Tomato. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Early Blight in Tomato. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Early Blight in Tomato. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Early Blight symptoms in Tomato despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
86,Tomato,Late Blight,fungal_blight,"Water-soaked lesions, white fungal growth on undersides","Cool wet weather 15-20C, high humidity",Conditions are not currently favorable for Late Blight to spread significantly in Tomato. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Late Blight in Tomato. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Late Blight in Tomato. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Late Blight symptoms in Tomato despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
87,Tomato,Leaf Curl Virus,viral,"Upward curling, yellowing of leaves, stunting","High whitefly vector population, warm dry weather",Low current vector activity for Leaf Curl Virus in Tomato. Keep monitoring for vector insects (whitefly/aphid/leafhopper/thrips) and early symptoms.,"Vector populations favoring Leaf Curl Virus spread appear to be rising in Tomato. Use yellow sticky traps, consider need-based approved insecticide against the vector, and remove severely infected plants to reduce virus source.","High risk of continued Leaf Curl Virus spread in Tomato due to vector activity. Remove and destroy infected plants immediately, control the vector population with a recommended approved insecticide, and consult an agricultural expert since there is no direct cure once a plant is infected.","Since viral diseases like Leaf Curl Virus cannot be cured once established, an agricultural officer's guidance on vector control and resistant varieties for future planting is strongly recommended.","Use virus-free planting material, control vector insect populations early in the season, and avoid planting near heavily infected fields.","Neem-based sprays can help suppress vector insect populations (whitefly/aphid) as a preventive, non-chemical option.","There is no chemical cure for the virus itself — insecticide use should target the vector insect population, as locally approved."
88,Tomato,Bacterial Wilt,bacterial,Sudden wilting without yellowing,Warm wet soil,Low current risk of Bacterial Wilt spread in Tomato. Avoid working in fields when foliage is wet to prevent accidental spread.,"Conditions are becoming favorable for Bacterial Wilt in Tomato. Avoid overhead irrigation, disinfect tools between plants, and monitor closely for spreading water-soaked lesions.","High risk of rapid Bacterial Wilt spread in Tomato. Remove and destroy severely affected plants, avoid field work during wet conditions, and consult your agricultural extension office for approved bactericide/copper-based treatment.","Bacterial diseases in Tomato can resemble other disorders — if symptoms are unclear or spreading unusually fast, get a lab confirmation from your nearest plant health clinic.","Use certified pathogen-free seed/planting material, avoid working in wet fields, and disinfect tools between plants to prevent mechanical spread.","Copper-based organic bactericides applied preventively can reduce bacterial spread, though they will not cure already-infected plants.","Copper oxychloride or streptocycline-based sprays, as locally approved, are commonly used once symptoms appear, alongside removal of infected material."
89,Tomato,Fusarium Wilt,fungal_blight,"One-sided yellowing and wilting, vascular browning",Warm soil temperature,Conditions are not currently favorable for Fusarium Wilt to spread significantly in Tomato. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Fusarium Wilt in Tomato. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Fusarium Wilt in Tomato. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Fusarium Wilt symptoms in Tomato despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
90,Tomato,Septoria Leaf Spot,fungal_blight,Small circular spots with grey centre on lower leaves,"Warm humid weather, splashing rain",Conditions are not currently favorable for Septoria Leaf Spot to spread significantly in Tomato. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Septoria Leaf Spot in Tomato. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Septoria Leaf Spot in Tomato. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Septoria Leaf Spot symptoms in Tomato despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
91,Potato,Late Blight,fungal_blight,"Dark water-soaked patches on leaves, white mold on undersides","Cool wet weather 15-20C, high humidity",Conditions are not currently favorable for Late Blight to spread significantly in Potato. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Late Blight in Potato. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Late Blight in Potato. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Late Blight symptoms in Potato despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
92,Potato,Early Blight,fungal_blight,Target-like brown spots on older leaves,Warm humid weather,Conditions are not currently favorable for Early Blight to spread significantly in Potato. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Early Blight in Potato. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Early Blight in Potato. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Early Blight symptoms in Potato despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
98,Chili,Anthracnose (Die-back),fungal_blight,"Sunken dark lesions on fruit, shoot die-back","Warm humid weather, rain during fruiting",Conditions are not currently favorable for Anthracnose (Die-back) to spread significantly in Chili. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Anthracnose (Die-back) in Chili. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Anthracnose (Die-back) in Chili. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Anthracnose (Die-back) symptoms in Chili despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
103,Onion,Purple Blotch,fungal_blight,Purple-brown concentric lesions on leaves,"Warm humid weather, alternating wet-dry periods",Conditions are not currently favorable for Purple Blotch to spread significantly in Onion. Continue routine field walks weekly and remove any visibly infected plant debris.,"Weather conditions have started favoring Purple Blotch in Onion. Improve field drainage and airflow, avoid overhead irrigation, and remove and destroy infected plant parts. Monitor daily.","Conditions are strongly favorable for rapid spread of Purple Blotch in Onion. Apply a recommended fungicide as per local agricultural extension guidance without delay, isolate severely affected plants, and consult your nearest Krishi Vigyan Kendra or agricultural officer.",Persistent or worsening Purple Blotch symptoms in Onion despite treatment should be reported to a plant pathologist or agricultural extension officer for lab confirmation and updated management advice.,"Use certified disease-free planting material, maintain field sanitation, rotate crops where possible, and avoid dense planting to keep canopy airflow open.","Neem-based sprays, Trichoderma-based bio-fungicides, and copper-based organic fungicides can help suppress early infection when used preventively.",A recommended contact or systemic fungicide (as approved by local extension services) applied at the first sign of symptoms is generally more effective than after severe spread.
